place,year,mass_g,longitude,latitude,fell_found
Esquel,1951,755000,-71.33333,-42.9,Found
Gladstone (iron),1915,736600,151.3,-23.9,Found
Mount Dooling,1909,734000,119.71667,-29.45,Found
Plainview (1917),1917,700000,-101.78333,34.11667,Found
Ngiangri,1983,700000,87.8,32.2,Found
Krasnojarsk,1749,700000,91.8,54.9,Found
Davis Mountains,1903,689000,-104.25,30.75,Found
Arispe,1896,683000,-109.98333,30.33333,Found
Itapuranga,,628000,-50.15,-15.58333,Found
La Caille,1828,626000,6.78333,43.73333,Found
Jianshi,1890,600000,109.5,30.80833,Fell
Adzhi-Bogdo (iron),1952,582000,95.41667,44.86667,Found
Long Island,1891,564000,-99.6,39.93333,Found
JaH 073,2002,550000,55.73333,19.7,Found
Rateldraai,1909,549000,21.13333,-28.83333,Found
Drum Mountains,1944,529000,-112.9,39.5,Found
Grant,1929,525000,-107.88333,35.16667,Found
Tamentit,1864,510000,-0.25,27.71667,Found
Trenton,1858,505000,-88.13333,43.36667,Found
Haig,1951,503000,125.63333,-31.38333,Found
Ochansk,1887,500000,55.26667,57.78333,Fell
Wildara,1968,500000,120.85,-28.23333,Found
El Timbu,1942,500000,-60.96667,-33.11667,Found
Boxhole,1937,500000,135.2,-22.61667,Found
Prambanan,1797,500000,110.83333,-7.56667,Found
Knyahinya,1866,500000,22.4,48.9,Fell
Jepara,2008,499500,110.73333,-6.6,Found
Saint-Aubin,1968,472000,3.58333,48.48333,Found
Carbo,1923,454000,-111.5,29.66667,Found
Etter,1965,450000,-101.9,35.98333,Found
SaU 001,2000,450000,56.66667,20.51667,Found
Ulasitai,2004,430000,91.4025,44.95667,Found
Wallapai,1927,430000,-113.7,35.8,Found
Paragould,1930,408000,-90.5,36.06667,Fell
ALHA76009,1976,407000,159.66667,-76.71667,Found
Pei Xian,1917,400000,117,34.7,Found
Augustinovka,1890,400000,35.08333,48.06667,Found
Mount Joy,1887,384000,-77.21667,39.78333,Found
Mont Dieu,1994,360000,4.86667,49.55,Found
Hugoton,1927,350000,-101.35,37.2,Found
Longtian,1991,350000,108.5,27.35,Found
Kokstad,1884,341000,29.41667,-30.55,Found
Millbillillie,1960,330000,120.36667,-26.45,Fell
BjurbÌ¦le,1899,330000,25.8,60.4,Fell
Mount Edith,1913,326000,116.16667,-22.5,Found
Sterlitamak,1990,325000,55.98333,53.66667,Fell
Seymchan,1967,323300,152.43333,62.9,Found
Tamarugal,1903,320000,-69.66667,-20.8,Found
Estherville,1879,320000,-94.83333,43.41667,Fell
Guffey,1907,309000,-105.51667,38.76667,Found
Nova Petropolis,1967,305000,-50.91667,-29.43333,Found
Gressk,1955,303000,27.33333,53.23333,Found
Bruderheim,1960,303000,-112.88333,53.9,Fell
Tianlin,1956,300000,106.1,24.3,Found
North Chile,1875,300000,-69,-23,Found
Mocs,1882,300000,24.03333,46.8,Fell
Putinga,1937,300000,-53.05,-29.03333,Fell
Morland,1890,295000,-100.06667,39.33333,Found
Estacado,1883,290000,-101.75,33.9,Found
Morasko,1914,290000,16.9,52.46667,Found
Bur-Abor,1997,290000,41.65,3.98333,Found
Clovis (no. 1),1961,283000,-103.13472,34.3,Found
Rio Limay,1995,280000,-69.48333,-39.85,Found
Sanclerlandia,1971,279000,-50.3,-16.21667,Found
South Dahna,1957,275000,48.3,22.56667,Found
Mount Padbury,1964,272000,118.1,-25.66667,Found
Saint-SÌ©verin,1966,271000,0.23333,45.3,Fell
Lake Murray,1933,270000,-97,34.1,Found
Miles,1992,265000,150.33333,-27.83333,Found
Potter,1941,261000,-103.3,41.23333,Found
Tishomingo,1965,260000,-96.68333,34.25,Found
Suizhou,1986,260000,113.46667,31.61667,Fell
Dalgety Downs,1941,257000,116.18333,-25.33333,Found
Dho 020,2000,256000,54.51667,19.03333,Found
Boguslavka,1916,256000,131.63333,44.55,Fell
Uegit,1921,252000,43.33333,3.81667,Found
Pultusk,1868,250000,21.26667,52.76667,Fell
Netschaï¿½ï¿½vo,1846,250000,35.15,54.23333,Found
Omolon,1981,250000,161.80833,64.02,Fell
Shangdu,1957,247000,114,42.5,Found
St. Genevieve County,1888,244500,-90.31667,37.96667,Found
El Hammami,1997,240000,-10.81667,23.28333,Found
Sacramento Mountains,1890,237200,-104.66667,32.91667,Found
Muonionalusta,1906,230000,23.1,67.8,Found
Homestead,1875,230000,-91.86667,41.8,Fell
New Concord,1860,230000,-81.76667,40,Fell
Alfianello,1883,228000,10.15,45.26667,Fell
Bear Creek,1866,227000,-105.3,39.6,Found
Guixi,,220000,117.18333,28.28333,Found
Holbrook,1912,220000,-110.18333,34.9,Fell
AcuÌ±a,1981,217700,-100.96667,29.31667,Found
Ssyromolotovo,1873,217000,98.93333,58.61667,Found
Chinga,1913,209400,94.4,51.05833,Found
Kainsaz,1937,200000,53.25,55.43333,Fell
Lowell,1846,200000,-71.35,42.68333,Fell
Moshesh,,200000,28.71667,-30.1,Found
Dimmitt,1942,200000,-102.16667,34.58333,Found
Patos de Minas (octahedrite),1925,200000,-46.53333,-18.58333,Found
Liangcheng,1959,200000,112.5,40.5,Found
Porto Alegre,2005,200000,-51.23,-30.03306,Found
Saratov,1918,200000,46.55,52.55,Fell
Barratta,1845,200000,144.56667,-35.3,Found
JaH 055,2004,200000,55.69,19.65167,Found
Kunashak,1949,200000,61.36667,55.78333,Fell
Pallasovka,1990,198000,46.61167,49.86667,Found
Kenton County,1889,194000,-84.6,38.81667,Found
Owens Valley,1913,192800,-118,37.46667,Found
Guanghua,1932,190000,111.7,32.4,Found
Admire,1881,180000,-96.1,38.7,Found
Travis County (a),1889,175400,-97.7,30.3,Found
Iron Creek,1869,175000,-112,53,Found
Tanokami Mountain,1885,174000,135.96667,34.91667,Found
Tamir-Tsetserleg,1956,173000,101.47917,47.45,Found
Owasco,1984,168400,-103.68333,41.2,Found
Madoc,1854,168000,-77.46667,44.5,Found
Manlai,1954,166800,106.5,44.33333,Found
Djati-Pengilon,1884,166000,111.5,-7.5,Fell
SÌ£o JuliÌ£o de Moreira,1883,162000,-8.58361,41.76611,Found
Knowles,1903,161000,-100.21667,36.9,Found
Garabato,1995,160000,-60.2,-28.86667,Found
Qijiaojing,2003,160000,92.91667,43.75,Found
Tenham,1879,160000,142.95,-25.73333,Fell
Mount Vernon,1868,159000,-87.4,36.93333,Found
Longchang,1781,158500,105.3,29.3,Found
Kimble County,1918,153800,-99.4,30.41667,Found
Bluff (a),1878,153300,-96.87222,29.87861,Found
Glasatovo,1918,152000,37.61667,57.35,Fell
Forest City,1890,152000,-93.66667,43.25,Fell
Weston,1807,150000,-73.266667,41.266667,Fell
Wiluna,1967,150000,120.32833,-26.59278,Fell
Magura,1840,150000,19.48333,49.33333,Found
Tres Castillos,1992,150000,-105.8,29.47,Found
McKinney,1870,150000,-96.71667,33.18333,Found
Mbale,1992,150000,34.16667,1.06667,Fell
Jalu,2000,150000,21.68333,27.95833,Found
Olivenza,1924,150000,-7.06667,38.71667,Fell
Shirokovsky,2002,150000,57.95,58.8,Found
MontferrÌ©,1923,149000,1.9625,43.39056,Fell
Orange River (iron),1855,148800,25,-30,Found
Camp Wood,,148000,-99.875,29.7725,Found
Glorieta Mountain,1884,148000,-105.8,35.6,Found
Gilgoin,1889,147000,147.2,-30.38333,Found
Wichita County,1836,145000,-98.91667,34.06667,Found
Molina,1858,144000,-1.16667,38.11667,Fell
El Sampal,1973,142000,-70.36667,-44.53333,Found
Keyes,1939,142000,-102.5,36.71667,Found
Tambo Quemado,1950,141000,-74.5,-14.66667,Found
Selma,1906,140600,-87,32.4,Found
Korra Korrabes,1996,140000,18.08333,-25.2,Found
Ider,1957,140000,-85.65,34.68333,Found
Huizopa,1907,140000,-108.56667,28.9,Found
Brainard,1978,138300,-96.955,41.15333,Found
DRPA78009,1978,138100,156.38333,-80.06667,Found
Cape of Good Hope,1793,136000,26,-33.5,Found
Babb's Mill (Blake's Iron),1876,136000,-82.88333,36.3,Found
Kesen,1850,135000,141.61667,38.98333,Fell
Colomera,1912,134000,-3.65,37.43333,Found
Carnegie,1963,132700,-98.64389,35.16667,Found
Araslanovo,1973,132000,48.2,55.14167,Found
Karavannoe,,132000,47.67967,57.78117,Found
Dong Ujimqin Qi,1995,128800,119.03333,45.5,Fell
Chebankol,1938,127760,88,53.66667,Found
Ozona,1929,127500,-101.3,30.73333,Found
Keqi,1966,127000,117.5,42.73333,Found
Carthage,1840,127000,-85.98333,36.26667,Found
Ensisheim,1492,127000,7.35,47.86667,Fell
Dho 005,2000,125500,54.16667,18.16667,Found
JaH 091,2002,123374,56.65432,19.69362,Found
Bur-Gheluai,1919,120000,48,5,Fell
Santiago Papasquiero,1958,119500,-106,24.5,Found
Duketon,1948,118300,122.36667,-27.5,Found
Bencubbin,1930,118000,117.78333,-30.75,Found
Scurry,1937,118000,-101,32.5,Found
Para de Minas,1934,116300,-44.61667,-19.86667,Found
Cleveland,1860,115000,-84.78333,34.88333,Found
Tafassasset,2000,114000,10.44167,20.76333,Found
Caperr,1869,113900,-70.48333,-45.28333,Found
Buenaventura,1969,113600,-107.55,29.8,Found
Gundaring,1937,112500,117.66667,-33.3,Found
Oakley (iron),1926,111000,-113.7,42.33333,Found
Florey,1978,110800,-102.705,32.5225,Found
Etosha,1970,110700,16,-18.5,Found
LEW 85320,1985,110224,161.41628,-84.26223,Found
Mount Tazerzait,1991,110000,4.8,18.7,Fell
Sulagiri,2008,110000,78.03333,12.66667,Fell
Lenarto,1814,108500,21,49,Found
Abee,1952,107000,-113,54.21667,Fell
Elbogen,1400,107000,12.73333,50.18333,Fell
Tiberrhamine,1967,107000,0.53333,28.11667,Found
Faith,1952,105000,-102.08333,45.33333,Found
Cook 001,1989,105000,130.53333,-30.33333,Found
Chico,1954,104800,-104.2,36.5,Found
Juncal,1866,104000,-69.25,-26,Found
Colby (Wisconsin),1917,104000,-90.28333,44.9,Fell
Molong,1912,104000,148.88333,-33.28333,Found
Udei Station,1927,103000,8.08333,7.95,Fell
Rifle,1948,102700,-107.83333,38.51667,Found
Seelï¿½_sgen,1847,102000,15.55,52.26667,Found
Sevrukovo,1874,101000,36.6,50.61667,Fell
Gujba,1984,100000,11.65833,11.49167,Fell
Murchison,1969,100000,145.2,-36.61667,Fell
Cook 007,1989,100000,130.41667,-30.61667,Found
Juancheng,1997,100000,115.41667,35.5,Fell
Chergach,2007,100000,-5.01472,23.69639,Fell
Tamdakht,2008,100000,-7.015,31.16333,Fell
Faucett,1966,100000,-94.86667,39.61667,Found
Franconia,2002,100000,-114.22197,34.71637,Found
Bou Azarif,2010,100000,-5.15262,31.15643,Found
Kidairat,1983,100000,28,14,Fell
Retuerta del Bullaque,1980,100000,-4.3775,39.45889,Found
Anyujskij,1981,100000,164.2,66.9,Found
Pierceville (iron),1917,100000,-100.66667,37.86667,Found
Dimitrovgrad,1949,100000,22.86389,43.04639,Found
Paranaiba,1956,100000,-51.66667,-19.13333,Fell
Lutschaunig's Stone,1861,100000,-70,-27,Found
Budulan,1962,100000,114.9,50.56667,Found
Social Circle,1927,99300,-83.7,33.7,Found
Steinbach,1724,98000,12.5,50.5,Found
Palmas de Monte Alto,1954,97000,-43.02278,-14.3675,Found
DaG 749,1999,95000,15.7645,27.30167,Found
Loreto,1896,94800,-111.36667,26.01667,Found
Weekeroo Station,1924,94200,139.86667,-32.26667,Found
Carver,1935,94000,-86,32,Found
Concho,1939,93500,-101.5,32,Found
Machinga,1981,93200,35.24222,-15.21222,Fell
Watson 001,1972,93000,131.55,-30.5,Found
Wiltshire,,92750,-1.81,51.14967,Found
JaH 090,2002,92668,56.6062,19.71678,Found
Karee Kloof,1914,92100,25.8,-31.6,Found
Laguna Manantiales,1945,92000,-67.41667,-48.58333,Found
Juvinas,1821,91000,4.3,44.71667,Fell
Fair Play,1928,91000,-93.55,37.66667,Found
Richardton,1918,90000,-102.31667,46.88333,Fell
ad-Dahbubah,1961,90000,51.25,19.83333,Found
Farmington,1890,89400,-97.03333,39.75,Fell
Mincy,1857,89400,-93.1,36.55,Found
Bennett County,1934,89000,-101.25,43.5,Found
Mills,1970,88000,-104.11889,36.23,Found
San Angelo,1897,88000,-100.35,31.41667,Found
Wagon Mound,1932,87500,-104.58583,35.84083,Found
Roebourne,1892,86860,118,-22.33333,Found
Tulia (a),1917,86000,-101.95,34.61667,Found
Bath Furnace,1902,86000,-83.75,38.25,Fell
Juanita de Angeles,1992,85000,-105.08333,28.41667,Found
Kayakent,1961,85000,31.78,39.26333,Fell
Apoala,1889,85000,-97,17.7,Found
Gan Gan,1984,83000,-68.08333,-42.66667,Found
Bruceville,1998,83000,-121.405,38.295,Found
Gretna,1912,82000,-99.21667,39.93333,Found
Ness County (1894),1894,82000,-99.6,38.5,Found
Renfrow,1986,81600,-97.555,36.98667,Found
Carlton,1887,81200,-98.03333,31.91667,Found
Ainsworth,1907,80650,-99.8,42.6,Found
Kernouve,1869,80000,-3.08333,48.11667,Fell
Baygorria,1994,80000,-56,-33,Found
Unter-Mï¿½_ssing,1920,80000,11.33333,49.09028,Found
Vera,1941,80000,-60.28333,-29.91667,Found
Soko-Banja,1877,80000,21.86667,43.66667,Fell
Mrirt,1937,79900,-5.56667,33.13333,Found
Belle Plaine,1950,78800,-97.25,37.31667,Found
Finmarken,1902,78300,24,70,Found
Parnallee,1857,77600,78.35,9.23333,Fell
Moorumbunna,1943,77000,136.25,-28.91667,Found
JaH 230,2005,77000,56.58277,19.7127,Found
Northbranch,1972,76000,-98.34167,39.99167,Found
Augusta County,1858,76000,-79.08333,38.16667,Found
Tawallah Valley,1939,75750,135.66667,-15.7,Found
Xingyang,1977,75500,114.31667,32.33333,Fell
Acme,1947,75000,-104.26667,33.63333,Found
Bayard,1982,75000,-103.36667,41.81667,Found
Wolsey,1981,74830,-98.53333,44.4,Found
Walker County,1832,74800,-87.16667,34,Found
Tilden,1927,74800,-89.68333,38.2,Fell
Hunter,1962,74600,-97.66667,36.56,Found
Ethiudna,1977,74318,139.78333,-32.03333,Found
Toufassour,2007,73300,-7.7493,29.65225,Found
Nelson County,1856,73030,-85.5,37.75,Found
Uwharrie,1930,72700,-79.96667,35.51667,Found
UruaÌ¤u,1992,72500,-48.76667,-14.53333,Found
Isoulane-n-Amahar,1945,72000,8.66722,27.12917,Found
Mafuta,1984,71500,30.40722,-16.9025,Found
Merua,1920,71400,81.98333,25.48333,Fell
Portales Valley,1998,71400,-103.295,34.175,Fell
Sierra Colorada,1995,71300,-67.48333,-40.8,Found
Tlacotepec,1903,71000,-97.55,18.65,Found
Wooramel,1969,71000,114.21667,-25.65,Found
Mahadevpur,2007,70500,95.78333,27.66667,Fell
Smithville,1840,70500,-85.85,35.98333,Found
PeÌ±a Blanca Spring,1946,70000,-103.11667,30.125,Fell
Lahmada 009,1999,70000,-9.5,27.16667,Found
Smithonia,1940,69900,-83.16667,34,Found
Landes,1930,69800,-79.18333,38.9,Found
Xinyi,1975,69000,118.33333,34.36667,Found
Wu-chu-mu-ch'in,1920,68860,118,45.5,Found
Kheri Maham,1986,68500,76.32278,28.97083,Fell
Soledade,1986,68000,-51.43333,-29.05,Found
Burlington,1819,68000,-75.18333,42.75,Found
Marlow,1936,68000,-97.91667,34.6,Found
Hamilton (Queensland),1966,68000,148.25,-28.48333,Found
Springwater,1931,67600,-108.3,52,Found
Rahimyar Khan,1983,67225,70.2,28.225,Fell
Pervomaisky,1933,66000,39.43333,56.63333,Fell
Timochin,1807,65500,35.2,54.5,Fell
Sychevka,1988,65000,127.495,51.125,Found
Bocaiuva,1965,64000,-43.83333,-17.16667,Found
Signal Mountain,1919,63500,-115.5,32.5,Found
DRP 88017,1988,63000,156.38333,-80.06667,Found
Treysa,1916,63000,9.18333,50.91667,Fell
Santa Clara,1976,63000,-103.35,24.46667,Found
Tnz 072,2002,62285,0.103,24.43817,Found
Thunda,1881,62100,143.05,-25.7,Found
Covert,1896,61000,-98.78333,39.2,Found
Gold Basin,1995,61000,-114.23333,35.875,Found
Hex River Mountains,1882,60000,19.61667,-33.31667,Found
Savannah,1923,60000,-88.18333,35.16667,Found
Nicolï¿½ï¿½s Levalle,1956,60000,-62.87889,-38.85028,Found
DRPA78008,1978,59400,156.38333,-80.06667,Found
Bohumilitz,1829,59000,13.76667,49.05,Found
Piedade do Bagre,1922,59000,-44.98333,-18.94167,Found
ï¿½ï¿½owicz,1935,59000,19.91667,52,Fell
Quijingue,1984,59000,-39.21667,-10.75,Found
Guadalupe y Calvo,1971,58630,-106.96667,26.1,Found
Aliskerovo,1977,58400,167.5,67.88333,Found
Ivanpah,1880,58000,-115.31667,35.33333,Found
Julesburg,1983,57900,-102.26667,39.975,Found
Phillips County (stone),1901,57900,-99.25,40,Fell
Miami,1930,57700,-100.6,35.66667,Found
Gladstone (stone),1936,57300,-104,36.3,Found
Warburton Range,1963,56930,126.66667,-26.28333,Found
Farmville,1934,56000,-77.53333,35.55,Fell
Ashmore,1969,55400,-102.28333,32.9,Found
Jenkins,1946,55400,-93.76111,36.82444,Found
Kulnine,1886,55300,141.78333,-34.15,Found
Wellman (a),1940,55000,-102.33333,33.03333,Found
Rosebud,1915,54900,-97.05,30.81667,Found
Elenovka,1951,54640,37.66667,47.83333,Fell
Aprel'sky,1969,54600,126.11667,53.3,Found
Markovka,1967,54200,79.8,52.4,Found
Chihuahua City,1929,54000,-106.11667,28.66667,Found
Uwet,1903,54000,8.25,5.28333,Found
Dunganville,1976,54000,171.35,-42.55,Found
Veramin,1880,54000,51.63333,35.33333,Fell
Kumerina,1937,53500,119.41667,-24.91667,Found
Ruff's Mountain,1844,53070,-81.4,34.3,Found
Dalton,1879,53000,-84.98333,34.8,Found
Nan Yang Pao,1917,52900,103.5,35.66667,Fell
Ahumada,1909,52600,-105.5,30.7,Found
Stannern,1808,52000,15.56667,49.28333,Fell
Benjamin,1969,51800,-99.8,33.58333,Found
LancÌ©,1872,51700,1.06667,47.7,Fell
Ilimaes (iron),1870,51700,-70,-26,Found
Grand Rapids,1883,51700,-85.76667,42.96667,Found
Leedey,1943,51500,-99.33333,35.88333,Fell
Mungindi,1897,51300,148.95,-28.93333,Found
Willow Creek,1914,51000,-106.76667,43.46667,Found
Birgi,1332,50800,28.1,38.23333,Fell
La Grange,1860,50800,-85.36667,38.4,Found
Richland,1951,50600,-96.4,31.9,Found
Davy (a),1940,50600,-97.6,29.1,Found
Santa Vitoria do Palmar,2003,50400,-53.41083,-33.50944,Found
NWA 1581,2001,50200,-4.25,31.38333,Found
HaH 153,1995,50000,13.5775,28.60033,Found
Nuevo Mercurio,1978,50000,-102.13333,24.3,Fell
Limerick,1813,50000,-8.78333,52.56667,Fell
Ingella Station,1987,50000,142.78333,-25.55,Found
Wuan,1986,50000,114.25,36.75,Fell
Winburg,1881,50000,27,-28.5,Found
NWA 6903,2008,50000,-6.36,32.37167,Found
Akyumak,1981,50000,42.81667,39.91667,Fell
Valera,1972,50000,-70.62833,9.31667,Fell
Ausson,1858,50000,0.58333,43.08333,Fell
Dho 1654,2011,50000,54.2876,18.67877,Found
Aumale,1865,50000,3.66667,36.16667,Fell
Hinojal,1927,50000,-60.15,-32.36667,Found
Waconda,1873,50000,-98.16667,39.33333,Found
Krymka,1946,50000,30.76667,47.83333,Fell
JaH 342,2006,49750,56.54755,19.71458,Found
Hraschina,1751,49000,16.33333,46.1,Fell
Agua Blanca,1938,49000,-66.95,-28.91667,Found
Mapleton,1939,49000,-95.71667,42.18333,Found
Thule,1955,48600,-67.55,76.53333,Found
Cabin Creek,1886,48500,-93.5,35.5,Fell
Bear Lodge,1931,48500,-104.2,44.5,Found
Crab Orchard,1887,48500,-84.91667,35.83333,Found
Bischtï¿½_be,1888,48250,62.2,51.95,Found
Woodbine,1953,48200,-90.1675,42.34667,Found
Sukhoj Liman,1987,48000,30.8,46.4,Found
Bagnone,1904,48000,9.98333,44.31667,Found
Jackalsfontein,1903,48000,21.9,-32.5,Fell
Dresden (Ontario),1939,47700,-82.26,42.52,Fell
Red Rock,1976,47600,-117.91667,35.41667,Found
Roy (1933),1933,47200,-104.2,35.95,Found
Gomez,1974,47000,-102.40139,33.18139,Found
Cuero,1936,46500,-97.28333,29.01667,Found
Rancho de la Pila (1882),1882,46500,-104.3,24.11667,Found
Harrisonville,1933,46500,-94.33333,38.65,Found
Lakewood,1955,46500,-104.35,32.62972,Found
Osseo,1931,46300,-80.08333,47.63333,Found
JaH 203,2002,46200,56.41368,19.983,Found
Dumas (a),1956,46050,-101.9,35.9,Found
Linwood,1940,46000,-96.96667,41.43333,Found
A-87251,1987,46000,26,-72,Found
Peace River,1963,45760,-117.93333,56.13333,Fell
Woodward County,1923,45500,-99.5,36.5,Found
Thuathe,2002,45300,27.58333,-29.33333,Fell
Needles,1962,45300,-114.8325,34.44417,Found
Dhajala,1976,45000,71.42722,22.37778,Fell
Wellman (c),1964,45000,-102.33333,33.03333,Found
Vyatka,1991,45000,49,57.53333,Found
Sandia Mountains,1925,45000,-106.5,35.25,Found
Kuttippuram,1914,45000,76.03333,10.83333,Fell
La Criolla,1985,45000,-58.16667,-31.23333,Fell
Kyushu,1886,45000,130.63333,32.03333,Fell
HaH 173,1996,45000,13.1965,28.63667,Found
Bensour,2002,45000,-7,30,Fell
Marjalahti,1902,45000,30.5,61.5,Fell
Dho 1433,2006,44790,54.1,18.43333,Found
Saginaw,1979,44500,-97.32306,32.86583,Found
Beenham,1937,44400,-103.65,36.21667,Found
Kelly,1937,44300,-103.03333,40.46667,Found
DaG 610,1998,44000,16.73333,26.85,Found
Ust-Nyukzha,1992,44000,120.46667,56.38333,Found
Rodeo,1852,44000,-104.66667,25.33333,Found
Horh Uul,2001,44000,104.16667,43.25,Found
Barwell,1965,44000,-1.33972,52.56528,Fell
Dix,1927,44000,-103.48333,41.23333,Found
Seminole,1961,43900,-102.61667,32.68333,Found
Dho 1288,2004,43600,54.285,18.27833,Found
SaU 270,2003,43508,57.189,20.72918,Found
Staunton,1869,43500,-79.05,38.21667,Found
Dho 1565,2008,43000,54.21367,18.2735,Found
Lixian,2005,43000,111.59833,29.85167,Found
Tombigbee River,1859,43000,-88.2,32.23333,Found
Aggie Creek,1942,43000,-163.16667,64.88333,Found
Chilkoot,1881,43000,-136,59.33333,Found
A-881756,1988,43000,26,-72,Found
Merceditas,1884,42900,-70.28333,-26.33333,Found
Dho 1426,2001,42850,54.70407,19.173,Found
Joe Wright Mountain,1884,42600,-91.5,35.76667,Found
Ballinoo,1892,42200,115.76667,-27.7,Found
Piplia Kalan,1996,42000,73.94167,26.03472,Fell
Point Berliet,2001,42000,9.53783,20.537,Found
NWA 055,,42000,-3.03333,32.05,Found
Macy,1984,42000,-103.91667,34.21667,Found
Anton,1965,41800,-102.18111,33.7825,Found
Bonita Springs,1938,41800,-81.75,26.26667,Found
Karoonda,1930,41730,139.91667,-35.08333,Fell
Tieraco Creek,1922,41700,118.33333,-26.33333,Found
AH 010,2002,41539,57.0028,19.86785,Found
Cacaria,1867,41400,-104.8,24.5,Found
Clovis (no. 2),1963,41300,-103.13333,34.3,Found
Buzzard Coulee,2008,41000,-109.84817,52.996,Fell
Balsas,1974,41000,-46.04117,-7.53133,Found
Obernkirchen,1863,41000,9.1,52.26667,Found
Butler,1874,41000,-94.36667,38.3,Found
Brownfield (1937),1937,40960,-102.18333,33.21667,Found
Millen,1975,40800,-81.87389,32.83528,Found
Glenormiston,1925,40800,138.71667,-22.9,Found
Richfield,1983,40800,-101.68139,37.22222,Found
Orlovka,1928,40500,76.75,56,Found
Johnstown,1924,40300,-104.9,40.35,Fell
Wynella,1945,40000,148.13333,-28.95,Found
Uberaba,1903,40000,-48.78333,-19.81667,Fell
Olmedilla de Alarcï¿½_n,1929,40000,-2.1,39.56667,Fell
Nullarbor 001,1935,40000,132,-31,Found
Sivas,1989,40000,36.13583,39.82467,Fell
Lohawat,1994,40000,72.62667,26.96556,Fell
El Simbolar,1938,40000,-64.88333,-30.63333,Found
Jerslev,1976,40000,11.229167,55.608833,Found
Dronino,2000,40000,41.42167,54.74667,Found
Pavlograd,1826,40000,35.98333,48.53333,Fell
Calliham,1958,40000,-98.25,28.41667,Found
Pinnaroo,1927,39400,140.91667,-35.38333,Found
GuareÌ±a,1892,39000,-6.01667,38.73333,Fell
Braunau,1847,39000,16.3,50.6,Fell
Manitouwabing,1962,39000,-79.87556,45.44,Found
Shingle Springs,1869,39000,-120.93333,38.66667,Found
Bechar 001,1998,39000,-3.33333,30.83333,Found
Dho 1700,2010,39000,54.67967,18.86622,Found
Weaver Mountains,1898,38800,-112.75,34.25,Found
Bunjil,1971,38750,116.48222,-29.62917,Found
Lamont,1940,38690,-96.02639,38.07778,Found
